fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.5,,0,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,,,,,,,,,,,,,,,
0.4,right,1,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.580000162,,,,,,,,,,,,,,
0.45,left,0,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.907999992,,,,,,,,,,,,,,
0.5,right,0,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.727999926,,,,,,,,,,,,,,
0.8,right,1,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.528000116,,,,,,,,,,,,,,
1.55,right,1,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.479000092,,,,,,,,,,,,,,
0.75,left,0,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.911000013,,,,,,,,,,,,,,
0.5,left,1,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.578999996,,,,,,,,,,,,,,
0.75,left,1,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.576999903,,,,,,,,,,,,,,
0.6,right,0,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.412999868,,,,,,,,,,,,,,
0.8,left,1,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.463999987,,,,,,,,,,,,,,
0.95,left,1,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.461000204,,,,,,,,,,,,,,
1.5,left,1,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.495999813,,,,,,,,,,,,,,
