fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate
1.1,right,1,0.921000004,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.45,,0,,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.45,left,1,1.152000189,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
1.35,left,1,1.069000006,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.7,,0,,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.85,left,1,1.065999985,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.6,right,1,0.75,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
1.4,,0,,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
1.45,right,0,1.157999992,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
1,right,1,1.13499999,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
0.45,left,0,1.398999929,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,1,001,2019-10-22_17h53.57.718,ANT,3.1.3,60
