fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt
0.9,,0,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
1.3,,0,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
1.1,,0,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
1.2,,0,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
1.55,,0,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
1.45,,0,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
0.4,left,1,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,1.546
1.25,right,1,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.646
1.45,left,1,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.562
0.65,right,1,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.661
1.05,left,0,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.362
0.4,left,1,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.679
0.55,right,1,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.612
1.5,left,1,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.712
1.05,left,1,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.645
1.35,right,1,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.662
0.95,right,1,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.578
1.15,right,1,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.962
1.2,right,1,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,0.631
0.9,,0,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
0.8,,0,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
0.8,,0,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,,001,2019-08-06_11h24.20.624,ANT,3.1.3,60,
