fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.55,left,1,0.81099987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.663000107,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.462999821,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,right,1,0.513000011,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,left,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,0,0.361999989,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.478999853,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.513000011,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,0,0.446000099,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.713999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.511000156,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.564999819,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,left,1,0.664000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.515000105,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,0,0.397000074,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.398000002,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.361000061,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.478999853,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,left,0,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,0,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.645999908,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,space,7.059999943
1.45,right,1,0.546000004,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.462000132,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.477999926,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.510999918,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.531999826,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.595000029,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.532000065,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,right,1,0.664000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,left,1,0.631999969,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,right,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.481000185,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,left,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,left,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.499000072,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.564999819,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.514999866,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,left,1,0.481000185,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.580000162,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.4,right,0,0.429000139,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.529999971,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.628000021,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,left,1,0.613000154,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,right,1,0.531000137,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,left,1,0.528999805,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.461000204,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
