fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate
0.4,,0,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.4,,0,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.4,,0,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.55,,0,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.4,,0,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.25,,0,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.45,,0,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.55,,0,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.9,,0,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.7,,0,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.2,,0,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.55,,0,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.05,,0,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.85,,0,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.2,,0,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.55,,0,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.2,,0,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.8,,0,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
1.2,,0,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
0.5,,0,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,,001,2020-04-18_17h27.02.244,ANT,3.1.3,60
