fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.95,right,1,1.006999969,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.3,right,1,0.758000135,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.3,left,1,0.554999828,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.5,left,1,0.721000195,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.4,right,1,0.506000042,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.45,left,0,0.67599988,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.25,left,1,0.572999954,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.3,left,1,0.594000101,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.2,right,1,0.60800004,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.6,left,1,0.690000057,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.6,right,1,0.593000174,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.25,left,1,0.488999844,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.5,right,1,0.52699995,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.55,right,1,0.511999846,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.65,right,1,0.7099998,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.45,left,1,0.65899992,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.3,left,1,0.524999857,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.3,left,1,0.55700016,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.85,right,1,0.476999998,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.85,left,1,0.445000172,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.45,left,1,0.460000038,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.5,right,1,0.628999949,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.4,left,1,0.56099987,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
