fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
1.05,right,1,0.595000029,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.85,left,1,0.495000124,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1,left,1,0.496000051,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,,0,,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.4,right,1,0.529999971,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.25,right,0,0.729000092,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.1,left,1,0.694999933,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,right,1,0.595999956,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.4,right,0,0.598999977,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,right,1,0.579999924,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.15,right,1,0.463000059,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,left,0,0.578999996,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,left,1,0.531000137,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.85,left,1,0.579999924,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.4,left,1,0.830000162,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.55,left,1,0.496999979,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,left,0,0.545000076,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,right,1,0.680000067,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.55,left,1,0.513000011,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.9,right,1,0.529999971,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.65,left,1,0.529000044,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,right,1,0.444999933,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.9,right,1,0.430000067,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,left,1,0.463999987,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.2,right,1,0.662999868,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,space,10.37599993
1.15,right,1,0.463999987,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.05,right,1,0.412999868,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,left,1,0.562999964,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.15,left,1,0.462000132,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,right,1,0.347000122,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.1,left,1,0.563000202,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.7,right,1,0.495000124,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.85,right,1,0.411999941,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,left,1,0.646000147,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.2,right,0,0.562999964,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,left,1,0.496999979,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.15,left,1,0.697000027,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,left,1,0.612999916,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,right,1,0.612999916,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,right,1,0.661999941,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.4,right,1,0.479999781,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1,left,1,0.979000092,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.1,left,1,0.846000195,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.55,right,1,0.680000067,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,right,1,0.713000059,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,right,1,0.428999901,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,right,1,0.513000011,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.85,left,1,0.529999971,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,right,1,0.697000027,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.4,left,1,0.496000051,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,right,1,1.197000027,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.25,right,1,0.496000051,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,right,1,0.546000004,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.8,left,1,0.680000067,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,right,1,0.480000019,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.5,left,1,0.563999891,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,right,1,0.513000011,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,left,1,0.496999979,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,right,1,0.562999964,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.5,left,1,0.496000051,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.25,left,1,0.445999861,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.5,right,1,0.579999924,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.55,left,1,0.710999966,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,left,1,0.579999924,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.35,right,1,0.529000044,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.65,left,1,0.713000059,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,right,1,0.545000076,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
