fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.75,,0,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,,,,,,,,,,,,,,,
1,left,1,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.734999895,,,,,,,,,,,,,,
1.3,left,0,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.968000174,,,,,,,,,,,,,,
0.9,right,1,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.667999983,,,,,,,,,,,,,,
0.6,left,1,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.734999895,,,,,,,,,,,,,,
1.15,left,1,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.66899991,,,,,,,,,,,,,,
1.3,left,1,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.90199995,,,,,,,,,,,,,,
0.6,right,1,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.735999823,,,,,,,,,,,,,,
0.9,left,1,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.702000141,,,,,,,,,,,,,,
0.4,left,1,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.768000126,,,,,,,,,,,,,,
1.55,right,1,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.868000031,,,,,,,,,,,,,,
1.1,right,1,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.802000046,,,,,,,,,,,,,,
1.4,left,1,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.700999975,,,,,,,,,,,,,,
0.45,right,1,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.667999983,,,,,,,,,,,,,,
0.65,right,1,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.502000093,,,,,,,,,,,,,,
1.35,left,1,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.63499999,,,,,,,,,,,,,,
0.75,left,1,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.701000214,,,,,,,,,,,,,,
1,left,1,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.568000078,,,,,,,,,,,,,,
1.55,right,1,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.501999855,,,,,,,,,,,,,,
0.85,right,1,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.502000093,,,,,,,,,,,,,,
1.3,right,1,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.601999998,,,,,,,,,,,,,,
0.55,right,1,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.500999928,,,,,,,,,,,,,,
1.3,left,1,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.467999935,,,,,,,,,,,,,,
1.05,right,0,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.468000174,,,,,,,,,,,,,,
0.55,left,1,,,,,,,stim/both.png,stim/congLeft.png,left,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,0.549000025,space,3.638000011,3,0,3,0,1,2,2,0,96,1,1,95
0.45,,0,,,,,,,stim/centre.png,stim/congRight.png,right,0,walter,001,2020-02-18_07h30.55.813,ANT,3.1.3,60,,,,3,0,3,0,1,2,2,0,96,10,1,95
